



Statistical profiling result from isolate-0x104801800-v8.log, (884 ticks, 71 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  T v8::internal::Strtod(v8::internal::Vector<char const>, int)
      1    0.1%    0.1%  T v8::internal::String::SlowEquals(v8::internal::String*)
      1    0.1%    0.1%  T v8::internal::String::ComputeAndSetHash()
      1    0.1%    0.1%  T v8::internal::String::CalculateLineEnds(v8::internal::Handle<v8::internal::String>, bool)
      1    0.1%    0.1%  T v8::internal::StackFrame::ComputeType(v8::internal::StackFrameIteratorBase const*, v8::internal::StackFrame::State*)
      1    0.1%    0.1%  T v8::internal::ScopeInfo::Create(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::Scope*, v8::internal::MaybeHandle<v8::internal::ScopeInfo>)
      1    0.1%    0.1%  T v8::internal::Scope::GetClosureScope()
      1    0.1%    0.1%  T v8::internal::Scanner::ScanString()
      1    0.1%    0.1%  T v8::internal::Object::OptimalType(v8::internal::Isolate*, v8::internal::Representation)
      1    0.1%    0.1%  T v8::internal::NativeRegExpMacroAssembler::Execute(v8::internal::Code*, v8::internal::String*, int, unsigned char const*, unsigned char const*, int*, int, v8::internal::Isolate*)
      1    0.1%    0.1%  T v8::internal::MarkCompactCollector::Sweeper::RawSweep(v8::internal::Page*, v8::internal::MarkCompactCollector::Sweeper::FreeListRebuildingMode, v8::internal::FreeSpaceTreatmentMode)
      1    0.1%    0.1%  T v8::internal::Map::NextFreePropertyIndex() const
      1    0.1%    0.1%  T v8::internal::Map::InstancesNeedRewriting(v8::internal::Map*, int, int, int, int*) const
      1    0.1%    0.1%  T v8::internal::LookupIterator::NotFound(v8::internal::JSReceiver*) const
      1    0.1%    0.1%  T v8::internal::Logger::TimerEvent(v8::internal::Logger::StartEnd, char const*)
      1    0.1%    0.1%  T v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
      1    0.1%    0.1%  T v8::internal::JsonStringifier::SerializeSmi(v8::internal::Smi*)
      1    0.1%    0.1%  T v8::internal::JsonStringifier::SerializeDouble(double)
      1    0.1%    0.1%  T v8::internal::JsonStringifier::SerializeArrayLikeSlow(v8::internal::Handle<v8::internal::JSReceiver>, unsigned int, unsigned int)
      1    0.1%    0.1%  T v8::internal::JSReceiver::ValidateAndApplyPropertyDescriptor(v8::internal::Isolate*, v8::internal::LookupIterator*, bool, v8::internal::PropertyDescriptor*, v8::internal::PropertyDescriptor*, v8::internal::Object::ShouldThrow, v8::internal::Handle<v8::internal::Name>)
      1    0.1%    0.1%  T v8::internal::JSReceiver::GetPropertyAttributes(v8::internal::LookupIterator*)
      1    0.1%    0.1%  T v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
      1    0.1%    0.1%  T v8::internal::JSObject::IsExtensible(v8::internal::Handle<v8::internal::JSObject>)
      1    0.1%    0.1%  T v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::JSObject::AccessorInfoHandling)
      1    0.1%    0.1%  T v8::internal::JSArray::HasReadOnlyLength(v8::internal::Handle<v8::internal::JSArray>)
      1    0.1%    0.1%  T v8::internal::Heap::AllocateRawFixedArray(int, v8::internal::PretenureFlag)
      1    0.1%    0.1%  T v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::FindEntry(v8::internal::Isolate*, v8::internal::StringTableKey*)
      1    0.1%    0.1%  T v8::internal::Factory::NewStringFromOneByte(v8::internal::Vector<unsigned char const>, v8::internal::PretenureFlag)
      1    0.1%    0.1%  T v8::internal::Factory::NewNumber(double, v8::internal::PretenureFlag)
      1    0.1%    0.1%  T v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, v8::internal::PretenureFlag)
      1    0.1%    0.1%  T v8::internal::Factory::NewFixedArray(int, v8::internal::PretenureFlag)
      1    0.1%    0.1%  T v8::internal::Compiler::Compile(v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Compiler::ClearExceptionFlag)
      1    0.1%    0.1%  T v8::internal::CanonicalHandleScope::Lookup(v8::internal::Object*)
      1    0.1%    0.1%  T v8::internal::Bitmap::Clear()
      1    0.1%    0.1%  T v8::internal::AllocationResult v8::internal::Heap::CopyArrayAndGrow<v8::internal::FixedArray>(v8::internal::FixedArray*, int, v8::internal::PretenureFlag)
      1    0.1%    0.1%  T v8::internal::Accessors::FunctionPrototypeGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  T v8::Object::Set(v8::Local<v8::Context>, v8::Local<v8::Value>, v8::Local<v8::Value>)
      1    0.1%    0.1%  T v8::HandleScope::Initialize(v8::Isolate*)
      1    0.1%    0.1%  T node::MakeCallback(v8::Isolate*, v8::Local<v8::Object>, v8::Local<v8::Function>, int, v8::Local<v8::Value>*)
      1    0.1%    0.1%  T node::Buffer::New(v8::Isolate*, char*, unsigned long)
      1    0.1%    0.1%  T _swscanf_l
      1    0.1%    0.1%  T _os_unfair_lock_unlock_no_tsd_4libpthread
      1    0.1%    0.1%  T _os_unfair_lock_unlock_4Libc
      1    0.1%    0.1%  T _os_unfair_lock_lock_with_options_4Libc
      1    0.1%    0.1%  T _os_unfair_lock_assert_owner
      1    0.1%    0.1%  T _mach_error_type
      1    0.1%    0.1%  T _getwgroups_np
      1    0.1%    0.1%  T _fputwc_l
      1    0.1%    0.1%  T _fputwc

 [Summary]:
   ticks  total  nonlib   name
    147   16.6%   16.8%  JavaScript
    655   74.1%   75.0%  C++
     15    1.7%    1.7%  GC
     11    1.2%          Shared libraries
     71    8.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    360   61.9%   40.7%  T v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     60   10.3%    6.8%  T v8::internal::Builtin_DateConstructor_ConstructStub(int, v8::internal::Object**, v8::internal::Isolate*)
     44    7.6%    5.0%  T ___guarded_open_dprotected_np
     32    5.5%    3.6%  T v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
