v8-version,6,1,534,50,0
code-creation,Builtin,5,6250,0x2594e21d4440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,6257,0x2594e21d44e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,6264,0x2594e21d4980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,6271,0x2594e21d4e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,6278,0x2594e21d4f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,6285,0x2594e21d5020,116,"ArrayCode"
code-creation,Builtin,5,6292,0x2594e21d50a0,203,"ArrayIsArray"
code-creation,Builtin,5,6299,0x2594e21d5180,134,"ArrayConcat"
code-creation,Builtin,5,6306,0x2594e21d5220,763,"FastArrayPop"
code-creation,Builtin,5,6313,0x2594e21d5520,134,"ArrayPop"
code-creation,Builtin,5,6320,0x2594e21d55c0,2660,"FastArrayPush"
code-creation,Builtin,5,6327,0x2594e21d6040,134,"ArrayPush"
code-creation,Builtin,5,6334,0x2594e21d60e0,1176,"FastArrayShift"
code-creation,Builtin,5,6341,0x2594e21d6580,134,"ArrayShift"
code-creation,Builtin,5,6348,0x2594e21d6620,134,"ArrayUnshift"
code-creation,Builtin,5,6355,0x2594e21d66c0,134,"ArraySlice"
code-creation,Builtin,5,6362,0x2594e21d6760,134,"ArraySplice"
code-creation,Builtin,5,6369,0x2594e21d6800,1556,"ArrayIncludes"
code-creation,Builtin,5,6376,0x2594e21d6e20,1292,"ArrayIndexOf"
code-creation,Builtin,5,6383,0x2594e21d7340,502,"ArrayPrototypeKeys"
