v8-version,6,1,534,50,0
code-creation,Builtin,5,5268,0x15711564ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,5273,0x15711564ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,5279,0x15711564f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,5285,0x15711564fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,5290,0x157115650240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,5296,0x157115650440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,5301,0x157115650820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,5306,0x157115650900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,5312,0x157115650d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,5318,0x157115651100,134,"Illegal"
code-creation,Builtin,5,5323,0x1571156511a0,134,"ObjectAssign"
code-creation,Builtin,5,5329,0x157115651240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,5334,0x1571156512e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,5339,0x157115651380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,5345,0x157115651420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,5350,0x1571156514c0,134,"ObjectIs"
code-creation,Builtin,5,5356,0x157115651560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,5361,0x157115651600,134,"ObjectSeal"
code-creation,Builtin,5,5369,0x1571156516a0,972,"ObjectCreate"
code-creation,Builtin,5,5375,0x157115651a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,5395,0x157115651b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,5401,0x157115651bc0,134,"ObjectFreeze"
code-creation,Builtin,5,5407,0x157115651c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,5414,0x157115651d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,5422,0x157115651da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,5430,0x157115651e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,5438,0x157115651ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,5444,0x157115651f80,640,"ObjectKeys"
code-creation,Builtin,5,5449,0x157115652200,134,"ObjectEntries"
code-creation,Builtin,5,5455,0x1571156522a0,134,"ObjectValues"
code-creation,Builtin,5,5460,0x157115652340,134,"ObjectDefineGetter"
code-creation,Builtin,5,5465,0x1571156523e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,5471,0x157115652480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,5477,0x157115652d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,5482,0x157115652da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,5490,0x157115652e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,5497,0x157115652f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,5502,0x157115653020,880,"ObjectProtoToString"
code-creation,Builtin,5,5508,0x1571156533a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,5513,0x157115653440,134,"ObjectPrototypeGetProto"
